;text
103;JAIR MESIAS BOLSONARO ATE 2026 https://t.co/1tNvMbNLWd
104;@123Livio @AbrahamWeint Se nem Bolsonaro tem partido, o que pensar de Abrahão?
105;a mãe outro dia foi me contar que um tio falou que ia dar -15 de sensação térmica e eu disse mãe o tio acredita no… https://t.co/gzGla653vQ
106;@titiesjdjdjdhhe picadinho do bolsonaro eu apoio mas maus tratos aos cavalos são proibidos ✋✋
107;@andre_serret Você poderia ter plena certeza que qualquer prédio na esplanada num governo Bolsonaro estará cheio de… https://t.co/WYj9XVLMax
108;Mulheres conservadoras e católicas de Curitiba, CCC igual aos eleitores de Bolsonaro(Crente-Corno-Cozido), costumam… https://t.co/E8gXzNAUsY
109;@FogoNaCortina @m76598927 Deveria ser personal do  Bolsonaro.
110;amém lula por ter feito bolsa atleta e agora termos atletas pro bolsonaro ficar fazendo tweet dizendo parabéns 👍
111;@JE0N4NGEL @whattaejin bolsonaro 100% brasil!! 😄😄😜
112;Bolsonaro veta acesso de pacientes com câncer a remédio. Vamos como agem os PICARETAS no Congresso, eles podem derr… https://t.co/QO6ApVHbgp
113;"😱😔😔👊😷😷🇧🇷🇺🇸🇵🇹💉💉💉
#ForaRodrigoPacheco
#ForaRicardoBarros
#PachecoCONIVENTE
#BolsonaroCorrupto
#24JForaBolsonaro… https://t.co/w3Cp29hVOQ"
114;@Jac_Bolsonaro https://t.co/rRnpgf8vKV
115;@markpekk @FernandoHoliday @roxmo das regalias públicas, que Lula, assim como Bolsonaro, aumentaram quanto ao gasto… https://t.co/4J4sylofsw
116;@solid3mm4 o bolsonaro nso me deu 1 emprego
117;@LeoScif @ramonzin_n @exame Sugestão para você que ainda não se conformou com o presidente Bolsonaro: deite-se no c… https://t.co/u260QYWiei
118;@CNNBrasil É Bolsonaro, ainda bem que teu time tá escalado desde 2018.
119;@soudesabafos @ArthurSelt1  sonho com o dia q vai manda o bolsonaro toma no cu
120;@NevilVerri @BritaniaBrito @CarlaZambelli38 Eh amigo. Votei bolsonaro mas estou decepcionado com isso. Com a… https://t.co/BwBOTvphTq
121;@Jac_Bolsonaro É o gabinete do ódio dela. Os assessores da peppa devem estar com dor nos dedos de tanto tentar defe… https://t.co/YPTaKvVbx2
122;chegar pra michele bolsonaro cantando: iae boca de pelo, tu ta beijando o cara que mamou o centrão inteiro
123;A estratégia é a seguinte. Se cada um de nós conquistarmos somente uma pessoa para o nosso lado, imagine quantos el… https://t.co/pJcdtMz3X6
124;BOMBA! BOLSONARO REVOLTA BRASIL COM ATITUDE CRUEL! MILITARES TOMAM PÉ NA... https://t.co/2oAVoaFx0r via @YouTube
125;pobre defendendo Bolsonaro com texto pronto de Facebook KAKAKAKAKKKKKKKKK
126;"""Vão continuar fazendo o que fazem há 30 anos (...) Só quem pode mudar isso é Jair Bolsonaro""

Kkkkkkkkkkk 🎵Pega na… https://t.co/Z7GymXyEZU"
127;@marina_c45 @terraovalista @LuccaScaranello @EdinhoPG02 @opensante13 @jrdiias @LiberalLiberal2 Ora, ora, ora... vej… https://t.co/FabhAHUFBT
128;"essa palloma é chamada no facebook de palominha bolsonaro
a conclusão eu deixo com vcs"
129;"ATE ONDE VAI BOLSONARO E SUA SOCIOPATIA AGUDA?
https://t.co/LrdIv9dPwJ"
130;da Precisa, e pessoas físicas. Segundo o senador, que apesar de suplente, é um dos membros mais destacados da CPI,… https://t.co/GzqGMJu6CS
131;"@palmeriodoria A terceira ou nova via eleitoral que já assombra Bolsonaro
Bolsonaro reclamou das críticas emitidas… https://t.co/aeP1uSk4jG"
132;"ciro nogueira aceita convite de bolsonaro"".
Que teatro! 
Não é o bolsonaro q tá emparedado pelo centrão, não, né?  Kkkk"
133;Engraçado como a mesma galera que politiza tudo, que acha que torcendo pra Argentina o Bolsonaro cai, que fala que… https://t.co/FJro68nKR2
134;"😱😔😔👊😷😷🇧🇷🇺🇸🇵🇹💉💉💉
#ForaRodrigoPacheco
#ForaRicardoBarros
#PachecoCONIVENTE
#BolsonaroCorrupto
#24JForaBolsonaro… https://t.co/SZbqYIVXwc"
135;@markpekk @FernandoHoliday @roxmo Fernando Holiday não apoia Bolsonaro, e negou mais da metade de seus privilégios… https://t.co/KLgOqzxe5O
136;@theweeknd como assim você nao liga pro q o governo bolsonaro fez d ruim? eu ja te disse ki eh pt 13
137;Bolsonaro  se elegeu com discurso  enti corrupção e anti centrão.  Quase 3 anos de governo  bolsonaro  não aprovou… https://t.co/L0K9gJB3TQ
138;"""Brazil’s poorest citizens have suffered the most under Bolsonaro. Ruffato made a firm decision to tell the stories… https://t.co/fav4BhFxs5"
139;"Esse demônio tem que sair da presidência. 
Bolsonaro veta PL de remédio oral contra câncer: 'Quem pagará a despesa?… https://t.co/f09Zk9FjP3"
140;O dia que os professores esquerdistas, agricultor esquerdista, mecânico esquerdista, trabalhador rural esquerdista,… https://t.co/ahy1grceiq
141;@Rconstantino E aquele video seu de 2020 criticando Bolsonaro e família? Agora lambe os caras e fora a passada de p… https://t.co/0YRd1lya6K
142;@Cassia_NNoronha Paulo Guedes é nome disso. Não querendo tirar a culpa do Bolsonaro...
143;@Thanos52713731 @folha rola disputada a do bolsonaro, mamou quantas vezes hoje? glub glub
144;@cristianolico @FelipeBarbieri @Ticostacruz Foi Bolsonaro e a direita brasileira nojenta que iniciou esta divisão.… https://t.co/Ot90kUOArk
145;"@LulaOficial O presidiário vc foi presidente de vc mesmo,nunca do povo!!!
Bolsonaro sim ,é presidente de verdade!!!… https://t.co/IKuAhIKjiU"
146;@lucasinutilismo Bolsonaro ta atrás de você tb???
147;@MiriamV43950437 TODO NAZISTA MELICIANO CORRUPTOS  E YMA BICHONA ENCUBADA .TODOS NOS HOMENS E MULHERES SABEMOS QUE… https://t.co/1xneaolrJz
148;@diogomainardi Kim não sabe absolutamente nada sobre o eleitorado ideológico de Bolsonaro uma vez que ele , Kim, é… https://t.co/D9txfmOAoH
149;Bolsonaro fala de Joice Hasselmann, Médico diz que Biden poderá renuncia... https://t.co/zJLE5Rq1Iw via @YouTube
150;"@erikakokay Governo Bolsonaro extinguiu 27000 cargos... Kkkk
https://t.co/OTQOKgMbHR"
151;@rafaelala @pinelsonttv @flaviogomes69 sua timeline mostrou que vc comemorou a vitória com público, bolsonaro prese… https://t.co/kkWykNKt8z
152;@jdoriajr Dória, você tá mais perto do Bolsonaro que do Lula e isso não te coloca numa boa posição.
153;"Pragmático, Ciro Nogueira já foi alvo da Lava Jato, enalteceu Lula e atacou Bolsonaro; veja vídeo https://t.co/g9gAyDXdRB"
154;"Things and people I hate:
- people acting inconsequently
- people shouting at me
- 'friendly reminders' and passive… https://t.co/Lf2QQqAplV"
155;"@lucasapontess @Davi0411_ Nope.

Nunca estive tão em paz comigo mesmo, e olha que foram 33 anos sendo afogado nesse… https://t.co/M5CWPttkby"
156;@Chinchillazllla Lmao this dude is becoming Bolsonaro they way he’s always in the hospital
157;Opa o parquinho do bananinha da pegando fogo. Rosa Weber mantém quebra de sigilo de assessor de Eduardo Bolsonaro n… https://t.co/SdoRpgQWBc
158;@folha Para o abestado embaixo quando escreve que nenhum ser humano faz homenagem para o Presidente Bolsonaro: Nos… https://t.co/fNkeeyX5qn
159;"Bolsonaro diz que Gilson Machado, ministro do Turismo, ""talvez"" dispute o Senado em Pernambuco
https://t.co/auo6LL7w24"
160;@theweeknd abel o bolsonaro ta fudendo com o Brasil faça algo
161;https://t.co/ZHBY1VMC5q
162;Bolsonaro diz que estuda possibilidade de apoiar candidatos no próximo pleito https://t.co/ma1RAWCPrg
163;@lexaceolin Mais uma vez a esquerda distorcendo a notícia e chamando Bolsonaro de “criatura “. Essas medicações for… https://t.co/Bpg37glu7E
164;Os 4 anos de Bolsonaro serão lembrados como os dias sem memória, sem esperança e sem alegria. O Brasil sucumbiu com… https://t.co/wj7n2k2QL1
